x,thickness,Nd_gaussian,Ef_Eg_gaussian,Nd_exp,Ef_Eg_exp,layerPoints
300,3e-07,7.115190215397513e+16,-0.16366,7.115190215397513e+16,-0.16366,50
296.9697,3e-07,8.261376520273762e+16,-0.1598,7.43796996979231e+16,-0.16252,50
293.9394,3e-07,9.562662062472474e+16,-0.15602,7.775392589197478e+16,-0.16137,50
290.9091,3e-07,1.103483114675921e+17,-0.15232,8.128122345435496e+16,-0.16022,50
287.8788,3e-07,1.269442596071264e+17,-0.1487,8.496853644940742e+16,-0.15908,50
284.8485,3e-07,1.455864422373426e+17,-0.14515,8.882312395812562e+16,-0.15793,50
281.8182,3e-07,1.664521045381987e+17,-0.14169,9.285257436884536e+16,-0.15678,50
278.7879,3e-07,1.897221943935825e+17,-0.13831,9.706482031623294e+16,-0.15563,50
275.7576,3e-07,2.155795093477598e+17,-0.13501,1.014681542979794e+17,-0.15449,50
272.7273,3e-07,2.442065511946304e+17,-0.13178,1.060712449999424e+17,-0.15334,50
269.697,3e-07,2.757830896659129e+17,-0.12864,1.108831543618792e+17,-0.15219,50
266.6667,3e-07,3.104834435646139e+17,-0.12558,1.159133554173611e+17,-0.15105,50
263.6364,3e-07,3.484734952873841e+17,-0.12259,1.211717509429968e+17,-0.1499,50
260.6061,3e-07,3.899074628660947e+17,-0.11969,1.266686929536726e+17,-0.14875,50
257.5758,3e-07,4.349244622717428e+17,-0.11686,1.324150030821942e+17,-0.14761,50
254.5455,3e-07,4.83644901563914e+17,-0.11412,1.384219938834471e+17,-0.14646,50
251.5152,3e-07,5.36166757305797e+17,-0.11145,1.44701491105018e+17,-0.14531,50
248.4848,3e-07,5.925617922390629e+17,-0.10887,1.512658569681207e+17,-0.14417,50
245.4545,3e-07,6.528717812438141e+17,-0.10636,1.581280145046583e+17,-0.14302,50
242.4242,3e-07,7.171048198003045e+17,-0.10393,1.653014729983325e+17,-0.14187,50
239.3939,3e-07,7.852317952195589e+17,-0.10159,1.728003545798868e+17,-0.14072,50
236.3636,3e-07,8.571831055217192e+17,-0.099322,1.806394220288396e+17,-0.13958,50
233.3333,3e-07,9.328457137316291e+17,-0.097135,1.888341078364388e+17,-0.13843,50
230.303,3e-07,1.012060626275167e+18,-0.095028,1.974005445870551e+17,-0.13728,50
227.2727,3e-07,1.094620882880077e+18,-0.093001,2.063555967178222e+17,-0.13614,50
224.2424,3e-07,1.180270141744273e+18,-0.091053,2.157168937190506e+17,-0.13499,50
221.2121,3e-07,1.268701937625944e+18,-0.089186,2.255028648407733e+17,-0.13384,50
218.1818,3e-07,1.359559681896059e+18,-0.087397,2.357327753737501e+17,-0.1327,50
215.1515,3e-07,1.452437462514694e+18,-0.085689,2.464267645763553e+17,-0.13155,50
212.1212,3e-07,1.546881688469501e+18,-0.08406,2.576058853220144e+17,-0.1304,50
209.0909,3e-07,1.642393607653397e+18,-0.082512,2.692921455452414e+17,-0.12925,50
206.0606,3e-07,1.738432709748231e+18,-0.081042,2.815085515678714e+17,-0.12811,50
203.0303,3e-07,1.834421006790213e+18,-0.079653,2.942791533907823e+17,-0.12696,50
200,3e-07,1.92974816416195e+18,-0.078343,3.076290920402691e+17,-0.12581,50
196.9697,3e-07,2.023777434286874e+18,-0.077113,3.215846490622826e+17,-0.12467,50
193.9394,3e-07,2.115852324844785e+18,-0.075963,3.36173298261967e+17,-0.12352,50
190.9091,3e-07,2.205303913463748e+18,-0.074893,3.514237597903556e+17,-0.12237,50
187.8788,3e-07,2.291458702168657e+18,-0.073902,3.673660566847037e+17,-0.12123,50
184.8485,3e-07,2.373646887968892e+18,-0.072991,3.840315739737658e+17,-0.12008,50
181.8182,3e-07,2.451210911407745e+18,-0.07216,4.014531204643784e+17,-0.11893,50
