Depth (nm)	Doping concentration (cm^-3)
3.0769	229063688594753420000
12.3077	211590397429754300000
20.5128	191357834040812370000
26.6667	168542632792890930000
32.8205	146110437689637130000
37.9487	128689990510035470000
41.0256	110387915074987970000
46.1538	95190946643673320000
51.2821	81653049257083370000
54.359	70411974443436155000
62.5641	60718444566759555000
69.7436	54912463796848860000
73.8462	50189853535852550000
81.0256	48621887049186560000
87.1795	44912943066776620000
95.3846	41050316786458910000
104.6154	37125029313080500000
110.7692	32872117860825680000
122.0513	31013929975697900000
128.2051	29260781328718803000
132.3077	26744280399913153000
143.5897	27316202848761573000
150.7692	27900355773906430000
153.8462	25500854870964625000
164.1026	22819720765983543000
167.1795	20098972361263170000
171.2821	18664265791351587000
180.5128	19992932509892583000
189.7436	19164508058394620000
195.8974	17702613196783761000
200	15509705597257652000
208.2051	14101041785181430000
213.3333	13094480010372060000
216.4103	12031800117095358000
220.5128	11055361796960940000
227.6923	11717739617924442000
231.7949	10485748318735624000
234.8718	9533383742469670000
240	8994482712437700000
246.1538	8852870926044770000
252.3077	7756223345512736000
257.4359	7395612180365501000
263.5897	7395612180365501000
269.7436	6548397125716918000
275.8974	7593830414323109000
285.1282	7634107079493156000
293.3333	6377467352112226000
297.4359	6583128951955167000
306.6667	6113211476166788000
312.8205	6653146220415108000
320	6178230765960898000
323.0769	5557981092969321000
335.3846	5706946881027145000
344.6154	5828989089186742000
358.9744	5767645195578135000
372.3077	5828989089186742000
384.6154	5676837689961720000
397.9487	5188615343504881000
402.0513	5828989089186742000
414.359	6377467352112226000
422.5641	6688433621901135000
431.7949	5737215767232030000
436.9231	6048876445055379000
444.1026	5384345836570858000
461.5385	6178230765960898000
473.8462	6016963273194466000
480	5161240809625489000
486.1538	5676837689961720000
502.5641	5859905271010104000
512.8205	5587459884473640000
531.2821	5528657828156300000
541.5385	5384345836570858000
548.7179	5706946881027145000
560	5859905271010104000
570.2564	5676837689961720000
574.359	5327681338988716000
586.6667	5470474600769932000
597.9487	5470474600769932000
610.2564	5859905271010104000
626.6667	5985218471533788000
634.8718	5706946881027145000
642.0513	6080958880129636000
654.359	5557981092969321000
666.6667	6080958880129636000
677.9487	6759570896576889000
689.2308	6178230765960898000
696.4103	5587459884473640000
708.7179	5557981092969321000
718.9744	5134010700617762000
723.0769	5470474600769932000
730.2564	6048876445055379000
737.4359	6310351309732581000
748.7179	5922230430292958000
756.9231	5470474600769932000
758.9744	5188615343504881000
768.2051	5706946881027145000
780.5128	5890985428144441000
792.8205	5617095027562102000
798.9744	5470474600769932000
817.4359	5528657828156300000
827.6923	5134010700617762000
833.8462	5737215767232030000
843.0769	6479482229764876000
851.2821	6795422760371618000
857.4359	6210999279125808000
864.6154	5737215767232030000
866.6667	5441613010079344000
869.7436	6277058626755919000
877.9487	6795422760371618000
891.2821	6277058626755919000
893.3333	5676837689961720000
901.5385	5216135068266227000
903.5897	5528657828156300000
925.1282	5528657828156300000
935.3846	5441613010079344000
944.6154	6277058626755919000
953.8462	6759570896576889000
964.1026	6243941592120436000
968.2051	5587459884473640000
973.3333	5188615343504881000
989.7436	5470474600769932000
