Depth (nm)	Doping concentration (cm^-3)
3.8961	329501307949180350
8.2792	636167426921542800
12.6623	1000000000000000900
16.0714	1253759641262690300
20.4545	1671915352405200400
23.8636	2096179992453127000
28.7338	2628105875360061000
31.6558	2912632654908740600
36.526	3504635510787000000
40.4221	4216965034285826600
43.3442	4673506565555121000
47.7273	5074078044822408000
52.5974	5981164049731417000
56.4935	6906940492102085000
59.9026	7498942093324561000
71.1039	10000000000000010000
85.2273	13335214321633237000
99.8377	18152170888055783000
112.5	21397209696253470000
124.6753	24206308919513540000
138.7987	27953009456082014000
151.9481	28533637718446817000
168.0195	28533637718446854000
183.6039	26281058753600614000
197.2403	21841663618286810000
211.8506	16045643647092711000
225.487	11547819846894600000
240.5844	6766391821240054000
253.2468	3805021743513266700
259.5779	2795300945608206000
264.9351	2323118849140301300
272.7273	1477892540690518800
280.5195	831080049820839400
285.3896	676639182124004700
287.8247	439397056076079000
292.6948	357743233897995140
296.5909	268269579527972700
300.974	189141014562678940
304.8701	160456436470927360
308.7662	92105531768948270
312.6623	74989420933245580
315.5844	35046355107870040
320.4545	22758459260747896
324.3506	20535250264571460
329.2208	16719153524051998
331.1688	7654706993131228
337.013	9796510957314966
340.4221	2011738042280796.2
344.3182	1930697728883251.5
348.2143	2011738042280796.2
352.5974	1041974625123954.5
356.4935	1930697728883251.5
