# Wavelength(nm),EQE(%),device_electrons(1/s),device_current(A),set_power(W),EQE_times_solarflux(photons*s-1*m-2*nm-1),measured_time(s)
4.150E+02,7.2093988E+01,4.0951248E+13,6.5611132E-06,248.000,1.8456061E+18,136.972
4.200E+02,7.3214559E+01,5.0947916E+13,8.1627560E-06,248.000,1.7351850E+18,171.141
4.250E+02,7.4198131E+01,6.1190346E+13,9.8037742E-06,248.000,1.9810901E+18,205.684
4.300E+02,7.5295613E+01,7.4010255E+13,1.1857750E-05,248.000,1.4230871E+18,239.830
4.350E+02,7.5886346E+01,8.7048568E+13,1.3946718E-05,248.000,2.0716973E+18,274.016
4.400E+02,7.6495893E+01,9.8483674E+13,1.5778824E-05,248.000,2.2872272E+18,311.213
4.450E+02,7.7279485E+01,1.1200292E+14,1.7944846E-05,248.000,2.5270392E+18,345.369
4.500E+02,7.7614560E+01,1.2928029E+14,2.0712986E-05,248.000,2.7397940E+18,379.936
4.550E+02,7.8171139E+01,1.4671517E+14,2.3506362E-05,248.000,2.7281727E+18,414.118
4.600E+02,7.8752284E+01,1.6355454E+14,2.6204326E-05,248.000,2.7878309E+18,448.303
4.650E+02,7.9159262E+01,1.8089571E+14,2.8982688E-05,248.000,2.8418175E+18,485.505
4.700E+02,7.9449772E+01,2.0316781E+14,3.2551072E-05,248.000,2.8363569E+18,519.697
4.750E+02,7.9817295E+01,2.3070797E+14,3.6963492E-05,248.000,3.0889293E+18,553.869
4.800E+02,8.0130861E+01,2.5909037E+14,4.1510854E-05,248.000,3.1331167E+18,588.079
4.850E+02,8.0351256E+01,2.8732262E+14,4.6034158E-05,248.000,3.0774531E+18,622.765
4.900E+02,8.0637654E+01,3.1507367E+14,5.0480366E-05,248.000,3.2255061E+18,660.461
4.950E+02,8.0853253E+01,3.4514850E+14,5.5298886E-05,248.000,3.3230687E+18,694.829
5.000E+02,8.1048289E+01,3.8186026E+14,6.1180758E-05,248.000,3.1527784E+18,729.066
5.050E+02,8.1239368E+01,4.1950811E+14,6.7212608E-05,248.000,3.2252029E+18,763.381
5.100E+02,8.1412340E+01,4.5930153E+14,7.3588218E-05,248.000,3.2320699E+18,797.694
5.150E+02,8.1539627E+01,5.0072111E+14,8.0224366E-05,248.000,3.2371232E+18,835.071
5.200E+02,8.1637482E+01,5.4553039E+14,8.7403604E-05,248.000,3.2573355E+18,869.367
5.250E+02,8.1812863E+01,5.8409763E+14,9.3582756E-05,248.000,3.4115964E+18,904.146
5.300E+02,8.1930848E+01,6.1711273E+14,9.8872358E-05,248.000,3.3755509E+18,938.453
5.350E+02,8.2066423E+01,6.4871562E+14,1.0393570E-04,248.000,3.4303765E+18,972.831
5.400E+02,8.2248114E+01,6.7931275E+14,1.0883790E-04,248.000,3.3145990E+18,1010.615
5.450E+02,8.2400799E+01,7.0881723E+14,1.1356504E-04,248.000,3.4855538E+18,1045.057
5.500E+02,8.2548077E+01,7.4071022E+14,1.1867486E-04,248.000,3.5165481E+18,1079.464
5.550E+02,8.2689538E+01,7.8207894E+14,1.2530286E-04,248.000,3.6135328E+18,1113.842
5.600E+02,8.2883358E+01,8.2830830E+14,1.3270962E-04,248.000,3.4479477E+18,1148.248
5.650E+02,8.2885022E+01,8.8633911E+14,1.4200718E-04,248.000,3.5806330E+18,1185.639
5.700E+02,8.2932505E+01,9.4894756E+14,1.5203816E-04,248.000,3.5246315E+18,1219.994
5.750E+02,8.2977389E+01,1.0116880E+15,1.6209028E-04,248.000,3.5514323E+18,1254.379
5.800E+02,8.2971693E+01,1.0711396E+15,1.7161548E-04,248.000,3.6424573E+18,1288.713
5.850E+02,8.3058640E+01,1.1199199E+15,1.7943094E-04,248.000,3.7459447E+18,1323.106
5.900E+02,8.3116965E+01,1.1653525E+15,1.8671006E-04,248.000,3.3828605E+18,1360.907
5.950E+02,8.3219403E+01,1.2090913E+15,1.9371778E-04,248.000,3.5701124E+18,1395.288
6.000E+02,8.3282843E+01,1.2567284E+15,2.0135008E-04,248.000,3.7144148E+18,1429.690
6.050E+02,8.3348813E+01,1.3083652E+15,2.0962322E-04,248.000,3.7840361E+18,1464.064
6.100E+02,8.3456968E+01,1.3399918E+15,2.1469036E-04,248.000,3.7639093E+18,1498.401
6.150E+02,8.3438027E+01,1.3588195E+15,2.1770688E-04,248.000,3.7964302E+18,1536.207
6.200E+02,8.3607221E+01,1.3826584E+15,2.2152630E-04,248.000,3.8459321E+18,1570.604
6.250E+02,8.3655992E+01,1.4079129E+15,2.2557252E-04,248.000,3.6892292E+18,1604.997
6.300E+02,8.3728267E+01,1.4349802E+15,2.2990918E-04,248.000,3.7007894E+18,1639.407
6.350E+02,8.3785682E+01,1.4653218E+15,2.3477044E-04,248.000,3.8708985E+18,1673.789
6.400E+02,8.3843925E+01,1.4992104E+15,2.4019998E-04,248.000,3.8735893E+18,1711.167
6.450E+02,8.3885399E+01,1.5359197E+15,2.4608146E-04,248.000,3.9677794E+18,1745.538
6.500E+02,8.3958362E+01,1.5767081E+15,2.5261648E-04,248.000,3.7361471E+18,1779.880
6.550E+02,8.3997517E+01,1.6179457E+15,2.5922348E-04,248.000,3.7378895E+18,1814.272
6.600E+02,8.4045470E+01,1.6619269E+15,2.6627004E-04,248.000,3.9081143E+18,1848.651
