# Wavelength(nm),EQE(%),device_electrons(1/s),device_current(A),set_power(W),EQE_times_solarflux(photons*s-1*m-2*nm-1),measured_time(s)
4.150E+02,7.3527473E+01,4.3706312E+13,7.0025232E-06,248.000,1.8823033E+18,1931.524
4.200E+02,7.4833192E+01,5.4454755E+13,8.7246136E-06,248.000,1.7735466E+18,1965.371
4.250E+02,7.5847049E+01,6.5448989E+13,1.0486084E-05,248.000,2.0251162E+18,1999.473
4.300E+02,7.6876182E+01,7.9095375E+13,1.2672476E-05,248.000,1.4529598E+18,2033.339
4.350E+02,7.7818039E+01,9.3103081E+13,1.4916758E-05,248.000,2.1244325E+18,2067.214
4.400E+02,7.8679042E+01,1.0539849E+14,1.6886700E-05,248.000,2.3525034E+18,2104.047
4.450E+02,7.9571101E+01,1.1982589E+14,1.9198224E-05,248.000,2.6019750E+18,2138.232
4.500E+02,8.0152050E+01,1.3838235E+14,2.2171296E-05,248.000,2.8293674E+18,2172.074
4.550E+02,8.0212792E+01,1.5685443E+14,2.5130850E-05,248.000,2.7994264E+18,2205.893
4.600E+02,8.0358749E+01,1.7458778E+14,2.7972046E-05,248.000,2.8446997E+18,2239.701
4.650E+02,8.1439109E+01,1.9271255E+14,3.0875954E-05,248.000,2.9236640E+18,2276.574
4.700E+02,8.2691527E+01,2.1636717E+14,3.4665842E-05,248.000,2.9520875E+18,2310.455
4.750E+02,8.3413367E+01,2.4551844E+14,3.9336390E-05,248.000,3.2280973E+18,2344.300
4.800E+02,8.3616523E+01,2.7559020E+14,4.4154418E-05,248.000,3.2694061E+18,2378.085
4.850E+02,8.3113535E+01,3.0542804E+14,4.8934966E-05,248.000,3.1832484E+18,2412.236
4.900E+02,8.2732308E+01,3.3451236E+14,5.3594788E-05,248.000,3.3092923E+18,2449.313
4.950E+02,8.3390521E+01,3.6605300E+14,5.8648156E-05,248.000,3.4273504E+18,2483.152
5.000E+02,8.4534719E+01,4.0470335E+14,6.4840624E-05,248.000,3.2884006E+18,2517.020
5.050E+02,8.5581541E+01,4.4435964E+14,7.1194262E-05,248.000,3.3975872E+18,2550.897
5.100E+02,8.6553159E+01,4.8585743E+14,7.7842942E-05,248.000,3.4361604E+18,2584.746
5.150E+02,8.7451112E+01,5.2915114E+14,8.4779358E-05,248.000,3.4718091E+18,2621.621
5.200E+02,8.7905483E+01,5.7613540E+14,9.2307066E-05,248.000,3.5074288E+18,2655.805
5.250E+02,8.7587848E+01,6.1622367E+14,9.8729916E-05,248.000,3.6524133E+18,2689.637
5.300E+02,8.7042456E+01,6.5031807E+14,1.0419244E-04,248.000,3.5861492E+18,2723.460
5.350E+02,8.5687423E+01,6.8338021E+14,1.0948958E-04,248.000,3.5817343E+18,2757.327
5.400E+02,8.4360992E+01,7.1497286E+14,1.1455128E-04,248.000,3.3997480E+18,2794.187
5.450E+02,8.3822360E+01,7.4550208E+14,1.1944260E-04,248.000,3.5456858E+18,2828.084
5.500E+02,8.3613785E+01,7.7823904E+14,1.2468764E-04,248.000,3.5619472E+18,2861.875
5.550E+02,8.3577800E+01,8.2081849E+14,1.3150962E-04,248.000,3.6523499E+18,2895.651
5.600E+02,8.3513895E+01,8.6756890E+14,1.3899986E-04,248.000,3.4741780E+18,2929.481
5.650E+02,8.3522165E+01,9.2733908E+14,1.4857610E-04,248.000,3.6081575E+18,2966.345
5.700E+02,8.3490725E+01,9.9268769E+14,1.5904610E-04,248.000,3.5483558E+18,3000.282
5.750E+02,8.3309491E+01,1.0565235E+15,1.6927372E-04,248.000,3.5656462E+18,3034.157
5.800E+02,8.3229495E+01,1.1184531E+15,1.7919594E-04,248.000,3.6537748E+18,3067.998
5.850E+02,8.3162741E+01,1.1674069E+15,1.8703920E-04,248.000,3.7506396E+18,3102.057
5.900E+02,8.3181075E+01,1.2141257E+15,1.9452438E-04,248.000,3.3854698E+18,3139.202
5.950E+02,8.3234378E+01,1.2584295E+15,2.0162264E-04,248.000,3.5707548E+18,3173.096
6.000E+02,8.3327187E+01,1.3069034E+15,2.0938900E-04,248.000,3.7163926E+18,3206.950
6.050E+02,8.3318994E+01,1.3598362E+15,2.1786978E-04,248.000,3.7826823E+18,3240.834
6.100E+02,8.3242533E+01,1.3906457E+15,2.2280600E-04,248.000,3.7542383E+18,3274.719
6.150E+02,8.3337938E+01,1.4109620E+15,2.2606104E-04,248.000,3.7918762E+18,3311.610
6.200E+02,8.3358183E+01,1.4332476E+15,2.2963158E-04,248.000,3.8344764E+18,3345.485
6.250E+02,8.3404213E+01,1.4582094E+15,2.3363090E-04,248.000,3.6781258E+18,3379.364
6.300E+02,8.3532334E+01,1.4858696E+15,2.3806256E-04,248.000,3.6921291E+18,3413.171
6.350E+02,8.3564415E+01,1.5160254E+15,2.4289404E-04,248.000,3.8606760E+18,3447.044
